[12-Jan-2017 09:59:51 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 09:59:51 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:21 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:21 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:22 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:23 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:24 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:26 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:07:27 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:08:00 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:08:00 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 4
[12-Jan-2017 10:08:17 Europe/Berlin] PHP Fatal error:  Class 'MainController' not found in D:\xampp\htdocs\crud\public\index.php on line 47
[12-Jan-2017 10:08:18 Europe/Berlin] PHP Fatal error:  Class 'MainController' not found in D:\xampp\htdocs\crud\public\index.php on line 47
[12-Jan-2017 10:08:39 Europe/Berlin] PHP Fatal error:  Class 'Model' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:08:48 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:08:49 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:09:19 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:09:20 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:09:21 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:09:34 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:09:35 Europe/Berlin] PHP Fatal error:  Class 'Controller' not found in D:\xampp\htdocs\crud\application\controllers\mainController.php on line 2
[12-Jan-2017 10:16:12 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\MainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:16:12 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\MainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:16:13 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\MainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:16:16 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\MainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:16:21 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\MainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:16:36 Europe/Berlin] PHP Fatal error:  Undefined constant 'application\controllers\MainController' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 10:17:40 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\mainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:17:41 Europe/Berlin] PHP Fatal error:  Class 'application\controllers\mainController' not found in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 3
[12-Jan-2017 10:17:50 Europe/Berlin] PHP Fatal error:  Undefined constant 'application\controllers\mainController' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 10:17:51 Europe/Berlin] PHP Fatal error:  Undefined constant 'application\controllers\mainController' in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
[12-Jan-2017 10:18:06 Europe/Berlin] PHP Parse error:  syntax error, unexpected 'oke' (T_STRING) in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 5
[12-Jan-2017 10:18:07 Europe/Berlin] PHP Parse error:  syntax error, unexpected 'oke' (T_STRING) in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 5
[12-Jan-2017 10:18:15 Europe/Berlin] PHP Warning:  require_once(D:\xampp\htdocs\crudapplication/controllers/mainController): failed to open stream: No such file or directory in D:\xampp\htdocs\crud\application\controllers\produkController.php on line 2
